engagement_id,milestone,milestone_date,candidate_count,notes
E0001,Kickoff,2024-04-09,13,
E0001,Longlist,2024-05-10,10,
E0001,Shortlist,2024-06-06,7,
E0001,Offer,2024-06-24,5,
E0001,Accepted,2024-07-18,6,
E0002,Kickoff,2025-11-25,10,
E0002,Longlist,2025-12-17,5,
E0002,Shortlist,2026-01-08,12,
E0003,Kickoff,2024-12-15,10,
E0003,Longlist,2025-01-02,11,manual review
E0003,Shortlist,2025-01-20,6,
E0003,Offer,2025-02-15,5,
E0003,Accepted,2025-03-04,0,
E0004,Kickoff,2024-08-28,14,
E0004,Longlist,2024-09-24,8,
E0004,Shortlist,2024-10-04,7,
E0004,Offer,2024-10-26,7,
E0004,Accepted,2024-11-15,4,manual review
E0005,Kickoff,2024-11-24,8,
E0005,Longlist,2025-01-04,10,
E0005,Shortlist,2025-01-29,6,
E0005,Offer,2025-02-20,1,
E0005,Accepted,2025-03-12,1,
E0006,Kickoff,2024-07-05,13,
E0006,Longlist,2024-08-16,7,
E0006,Shortlist,2024-08-30,6,
E0006,Offer,2024-09-18,6,manual review
E0007,Kickoff,2025-10-03,10,
E0007,Longlist,2025-10-31,11,
E0007,Shortlist,2025-11-13,4,
E0007,Offer,2025-11-24,5,manual review
E0008,Kickoff,2026-01-01,9,
E0008,Longlist,2026-01-17,8,
E0008,Shortlist,2026-02-17,6,
E0008,Offer,2026-02-28,4,
E0009,Kickoff,2024-03-07,7,
E0009,Longlist,2024-04-17,11,manual review
E0010,Kickoff,2025-06-11,13,
E0010,Longlist,2025-06-26,6,
E0010,Shortlist,2025-07-16,7,
E0010,Offer,2025-07-29,6,
E0010,Accepted,2025-08-11,0,
E0011,Kickoff,2024-09-06,9,
E0011,Longlist,2024-09-28,12,manual review
E0011,Shortlist,2024-10-11,7,manual review
E0011,Offer,2024-11-05,3,manual review
E0011,Accepted,2024-11-13,3,
E0012,Kickoff,2024-02-08,9,manual review
E0012,Longlist,2024-03-13,7,manual review
E0012,Shortlist,2024-04-05,6,
E0012,Offer,2024-04-20,0,
E0012,Accepted,2024-05-04,1,
E0013,Kickoff,2025-11-04,16,
E0013,Longlist,2025-11-23,12,
E0013,Shortlist,2025-12-19,8,
E0013,Offer,2025-12-28,7,
E0013,Accepted,2026-01-19,1,
E0014,Kickoff,2024-02-21,14,manual review
E0014,Longlist,2024-03-07,8,
E0014,Shortlist,2024-04-10,12,
E0014,Offer,2024-04-18,6,
E0014,Accepted,2024-04-26,3,manual review
E0015,Kickoff,2024-06-08,17,
E0015,Longlist,2024-07-03,7,
E0015,Shortlist,2024-07-20,11,
E0015,Offer,2024-07-28,5,manual review
E0015,Accepted,2024-07-31,1,
E0016,Kickoff,2024-01-28,11,
E0016,Longlist,2024-03-07,9,
E0016,Shortlist,2024-03-17,11,
E0016,Offer,2024-04-12,7,
E0016,Accepted,2024-04-17,1,
E0017,Kickoff,2024-12-14,11,
E0017,Longlist,2025-01-25,8,
E0017,Shortlist,2025-02-10,8,
E0017,Offer,2025-03-09,5,
E0017,Accepted,2025-03-20,1,
E0018,Kickoff,2025-03-18,11,
E0018,Longlist,2025-04-28,10,
E0018,Shortlist,2025-06-01,8,
E0018,Offer,2025-06-20,0,manual review
E0018,Accepted,2025-06-28,5,
E0019,Kickoff,2024-08-26,10,
E0019,Longlist,2024-09-13,6,
E0019,Shortlist,2024-10-15,7,
E0019,Offer,2024-10-24,8,
E0019,Accepted,2024-11-05,1,
E0020,Kickoff,2024-02-29,11,
E0020,Longlist,2024-04-12,13,
E0020,Shortlist,2024-04-30,5,
E0020,Offer,2024-05-13,1,
E0020,Accepted,2024-06-06,5,
E0021,Kickoff,2024-04-03,9,
E0021,Longlist,2024-04-29,9,
E0021,Shortlist,2024-05-25,10,
E0021,Offer,2024-06-20,3,
E0022,Kickoff,2025-11-17,12,
E0022,Longlist,2025-12-06,10,
E0023,Kickoff,2025-08-20,12,
E0023,Longlist,2025-10-03,10,manual review
E0023,Shortlist,2025-10-19,8,
E0023,Offer,2025-11-15,8,
E0023,Accepted,2025-11-23,3,
E0024,Kickoff,2025-11-17,10,
E0024,Longlist,2025-12-03,7,
E0025,Kickoff,2025-01-27,11,
E0025,Longlist,2025-03-05,10,
E0025,Shortlist,2025-03-21,6,
E0025,Offer,2025-04-12,6,
E0025,Accepted,2025-04-19,1,
E0026,Kickoff,2025-02-04,7,
E0026,Longlist,2025-03-12,10,
E0026,Shortlist,2025-04-05,8,
E0027,Kickoff,2025-07-27,13,
E0027,Longlist,2025-08-26,8,
E0027,Shortlist,2025-09-21,6,
E0027,Offer,2025-10-11,3,
E0028,Kickoff,2025-04-04,13,
E0028,Longlist,2025-05-12,11,
E0028,Shortlist,2025-06-13,9,
E0028,Offer,2025-06-30,12,
E0028,Accepted,2025-07-22,3,
E0029,Kickoff,2024-11-16,15,
E0029,Longlist,2024-12-08,7,
E0029,Shortlist,2025-01-05,4,
E0029,Offer,2025-01-27,5,
E0029,Accepted,2025-01-31,5,
E0030,Kickoff,2024-08-03,11,
E0030,Longlist,2024-08-26,5,
E0030,Shortlist,2024-09-28,5,
E0030,Offer,2024-10-09,7,
E0030,Accepted,2024-10-23,4,
E0031,Kickoff,2024-12-22,11,
E0031,Longlist,2025-01-12,6,
E0031,Shortlist,2025-02-06,5,
E0031,Offer,2025-02-21,6,
E0031,Accepted,2025-03-11,1,
E0032,Kickoff,2024-02-17,10,
E0032,Longlist,2024-03-24,15,
E0032,Shortlist,2024-04-21,10,
E0033,Kickoff,2024-05-20,12,
E0033,Longlist,2024-06-04,8,
E0033,Shortlist,2024-06-14,10,
E0033,Offer,2024-07-10,9,
E0033,Accepted,2024-08-02,2,
E0034,Kickoff,2025-06-24,13,
E0034,Longlist,2025-07-11,9,
E0035,Kickoff,2025-09-26,12,
E0035,Longlist,2025-11-04,6,
E0035,Shortlist,2025-11-14,5,manual review
E0035,Offer,2025-12-06,8,
E0035,Accepted,2025-12-13,1,
E0036,Kickoff,2024-03-24,12,
E0036,Longlist,2024-04-26,13,
E0036,Shortlist,2024-05-19,5,
E0036,Offer,2024-05-29,7,manual review
E0036,Accepted,2024-06-02,5,
E0037,Kickoff,2024-03-15,11,manual review
E0038,Kickoff,2024-03-09,11,
E0038,Longlist,2024-04-21,10,
E0038,Shortlist,2024-05-20,5,manual review
E0038,Offer,2024-05-31,7,
E0038,Accepted,,3,
E0039,Kickoff,2025-08-06,12,
E0039,Longlist,2025-09-13,9,
E0039,Shortlist,2025-10-15,11,
E0039,Offer,2025-11-08,9,
E0039,Accepted,2025-11-11,7,
E0040,Kickoff,2024-08-17,12,
E0040,Longlist,2024-09-01,9,
E0040,Shortlist,2024-09-24,10,
E0040,Offer,2024-10-06,4,
E0040,Accepted,2024-10-27,5,
E0041,Kickoff,2024-08-27,15,
E0041,Longlist,2024-09-30,7,
E0041,Shortlist,2024-10-23,5,
E0041,Offer,2024-10-31,8,
E0041,Accepted,2024-11-11,0,
E0042,Kickoff,2024-01-10,14,
E0042,Longlist,2024-02-02,12,
E0042,Shortlist,2024-03-04,9,
E0042,Offer,2024-03-30,5,
E0042,Accepted,2024-04-22,5,
E0043,Kickoff,2025-12-13,13,
E0043,Longlist,2026-01-19,8,
E0043,Shortlist,2026-01-29,10,
E0044,Kickoff,2024-11-17,11,manual review
E0044,Longlist,2024-12-25,11,
E0044,Shortlist,2025-01-20,7,
E0044,Offer,2025-01-29,6,
E0044,Accepted,2025-02-09,1,
E0045,Kickoff,2025-08-07,12,
E0045,Longlist,2025-09-18,12,
E0045,Shortlist,2025-10-04,6,
E0045,Offer,2025-10-18,5,
E0045,Accepted,2025-11-02,4,
E0046,Kickoff,2025-06-01,11,
E0046,Longlist,2025-06-26,8,
E0046,Shortlist,2025-07-27,7,
E0046,Offer,2025-08-20,5,
E0046,Accepted,2025-08-28,1,
E0047,Kickoff,2024-04-17,7,
E0047,Longlist,2024-05-30,11,
E0047,Shortlist,2024-06-14,8,manual review
E0047,Offer,2024-07-02,3,
E0047,Accepted,2024-07-03,1,
E0048,Kickoff,2025-08-09,14,
E0048,Longlist,2025-08-29,8,
E0048,Shortlist,2025-09-22,6,manual review
E0048,Offer,2025-10-09,3,
E0049,Kickoff,2025-02-10,9,
E0049,Longlist,2025-03-05,8,
E0049,Shortlist,2025-04-01,10,
E0049,Offer,2025-04-20,7,
E0049,Accepted,2025-04-21,1,
E0050,Kickoff,2025-03-19,11,
E0050,Longlist,2025-04-12,11,
E0051,Kickoff,2024-05-26,10,
E0051,Longlist,2024-06-11,4,
E0051,Shortlist,2024-07-07,5,
E0051,Offer,2024-07-20,3,manual review
E0051,Accepted,2024-07-25,0,
E0052,Kickoff,2025-09-14,12,
E0052,Longlist,2025-10-02,12,
E0052,Shortlist,2025-10-31,6,
E0052,Offer,2025-11-20,4,
E0052,Accepted,2025-12-09,6,
E0053,Kickoff,2025-11-12,10,
E0053,Longlist,2025-12-07,9,
E0054,Kickoff,2024-10-30,11,
E0054,Longlist,2024-11-26,11,
E0054,Shortlist,2024-12-19,7,
E0054,Offer,2024-12-26,2,
E0054,Accepted,2025-01-02,0,
E0055,Kickoff,2024-03-13,13,
E0055,Longlist,2024-04-15,9,
E0056,Kickoff,2025-09-20,9,
E0056,Longlist,2025-10-30,9,manual review
E0056,Shortlist,2025-11-30,6,
E0056,Offer,2025-12-18,5,
E0057,Kickoff,2025-10-10,15,
E0057,Longlist,2025-10-27,10,
E0057,Shortlist,2025-11-08,5,
E0058,Kickoff,2025-01-12,11,
E0058,Longlist,2025-01-28,11,
E0058,Shortlist,2025-02-09,4,manual review
E0058,Offer,2025-03-05,7,
E0058,Accepted,2025-03-06,4,
E0059,Kickoff,2025-03-07,13,
E0059,Longlist,2025-04-11,7,
E0059,Shortlist,2025-05-07,7,manual review
E0059,Offer,2025-05-16,7,
E0059,Accepted,2025-05-26,1,
E0060,Kickoff,2024-06-12,13,
E0060,Longlist,2024-07-20,9,
E0060,Shortlist,2024-08-15,8,
E0061,Kickoff,2024-02-28,13,
E0061,Longlist,2024-03-28,9,
E0061,Shortlist,2024-04-30,7,
E0061,Offer,2024-05-26,5,
E0061,Accepted,2024-06-10,5,
E0062,Kickoff,2025-11-29,11,
E0062,Longlist,2026-01-11,9,
E0062,Shortlist,2026-01-31,8,
E0062,Offer,2026-02-27,5,
E0063,Kickoff,2024-12-22,12,
E0063,Longlist,2025-01-13,11,
E0063,Shortlist,2025-01-23,9,
E0063,Offer,2025-01-31,1,
E0063,Accepted,2025-02-17,0,
E0064,Kickoff,2024-07-19,12,
E0064,Longlist,2024-08-07,10,
E0064,Shortlist,2024-09-07,6,
E0064,Offer,2024-10-01,6,
E0064,Accepted,2024-10-07,5,
E0065,Kickoff,2025-05-22,12,
E0065,Longlist,2025-07-01,6,
E0065,Shortlist,2025-07-23,8,
E0065,Offer,2025-08-04,5,
E0065,Accepted,2025-08-06,2,
E0066,Kickoff,2024-01-27,12,
E0066,Longlist,2024-03-01,10,
E0066,Shortlist,2024-03-23,7,
E0066,Offer,2024-04-11,4,
E0066,Accepted,2024-05-03,4,
